id,lat,lon,start,end,citation,EEZ
68,29.374246,-89.773347,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
69,29.374246,-89.773347,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
70,29.363401,-89.77003,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
71,29.36288831,-89.76987123,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
72,29.362911,-89.769874,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
73,29.132365,-89.388829,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
74,29.12678385,-89.32284888,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
75,29.23813,-89.075476,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
76,29.24076054,-89.07661948,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
77,29.24827,-89.086625,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
78,29.264338,-89.082589,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
79,29.249849,-89.06083,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
80,29.240697,-89.076385,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
81,29.249925,-89.060687,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
82,29.247396,-89.050212,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
83,29.251845,-89.054422,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
84,29.251343,-89.053509,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
85,29.253491,-89.044912,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
86,29.247295,-89.05033,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
87,29.249925,-89.060687,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
88,28.989172,-89.266676,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
89,28.989172,-89.266676,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
