lat,lon,start,end,note
-26.451159932337905,-46.563016758437406,2019-03-23,2019-03-27,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2019-04-02,2019-04-16,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2019-05-02,2019-05-11,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2019-06-06,2019-06-10,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2019-06-16,2019-07-05,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2019-07-11,2019-07-15,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2019-07-21,2019-07-30,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2019-08-10,2019-08-14,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2019-09-09,2019-09-13,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2019-10-04,2019-10-08,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2019-10-24,2019-11-07,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2019-11-13,2019-11-22,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2019-12-03,2019-12-07,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2019-12-28,2020-01-11,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2020-02-11,2020-02-20,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2020-03-07,2020-04-20,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2020-04-26,2020-05-05,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2020-05-11,2020-05-20,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2020-05-26,2020-06-04,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2020-06-20,2020-06-29,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2020-07-05,2020-07-19,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2020-07-25,2020-07-29,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2020-08-04,2020-08-13,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2020-09-03,2020-09-07,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2020-09-18,2020-09-22,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2020-10-13,2020-10-17,possible venting from flaring dataset
