id,structure_id,start,end,citation
103,x206,2021-10-31,2021-10-31,Carbon Mapper
104,x185,2021-10-31,2021-10-31,Carbon Mapper
105,x191,2021-10-31,2021-10-31,Carbon Mapper
106,x186,2021-10-31,2021-10-31,Carbon Mapper
107,x189,2021-10-31,2021-10-31,Carbon Mapper
108,x186,2021-10-31,2021-10-31,Carbon Mapper
109,x203,2021-10-31,2021-10-31,Carbon Mapper
110,x191,2021-10-31,2021-10-31,Carbon Mapper
111,x186,2021-10-31,2021-10-31,Carbon Mapper
112,x198,2021-10-31,2021-10-31,Carbon Mapper
113,x203,2021-10-31,2021-10-31,Carbon Mapper
114,x198,2021-10-31,2021-10-31,Carbon Mapper
115,x94,2021-10-30,2021-10-30,Carbon Mapper
116,x87,2021-10-30,2021-10-30,Carbon Mapper
117,x87,2021-10-30,2021-10-30,Carbon Mapper
118,x78,2021-10-30,2021-10-30,Carbon Mapper
119,x75,2021-10-30,2021-10-30,Carbon Mapper
120,x69,2021-10-30,2021-10-30,Carbon Mapper
121,x69,2021-10-30,2021-10-30,Carbon Mapper
122,x65,2021-10-30,2021-10-30,Carbon Mapper
123,x67,2021-10-30,2021-10-30,Carbon Mapper
124,x172,2021-10-29,2021-10-29,Carbon Mapper
125,x176,2021-10-29,2021-10-29,Carbon Mapper
126,x130,2021-10-29,2021-10-29,Carbon Mapper
127,x129,2021-10-29,2021-10-29,Carbon Mapper
128,x103,2021-10-29,2021-10-29,Carbon Mapper
129,x121,2021-10-29,2021-10-29,Carbon Mapper
130,x103,2021-10-29,2021-10-29,Carbon Mapper
131,x116,2021-10-29,2021-10-29,Carbon Mapper
132,x98,2021-10-29,2021-10-29,Carbon Mapper
133,x97,2021-10-29,2021-10-29,Carbon Mapper
134,x87,2021-10-29,2021-10-29,Carbon Mapper
135,x157,2021-10-26,2021-10-26,Carbon Mapper
136,x152,2021-10-25,2021-10-25,Carbon Mapper
137,x152,2021-10-25,2021-10-25,Carbon Mapper
138,x157,2021-10-25,2021-10-25,Carbon Mapper
139,x168,2021-10-25,2021-10-25,Carbon Mapper
140,x172,2021-10-25,2021-10-25,Carbon Mapper
141,x172,2021-10-25,2021-10-25,Carbon Mapper
142,x176,2021-10-25,2021-10-25,Carbon Mapper
143,x180,2021-10-25,2021-10-25,Carbon Mapper
144,x180,2021-10-25,2021-10-25,Carbon Mapper
145,x180,2021-10-25,2021-10-25,Carbon Mapper
146,x121,2021-10-25,2021-10-25,Carbon Mapper
147,x103,2021-10-25,2021-10-25,Carbon Mapper
148,x99,2021-10-25,2021-10-25,Carbon Mapper
149,x106,2021-10-25,2021-10-25,Carbon Mapper
150,x116,2021-10-25,2021-10-25,Carbon Mapper
151,x100,2021-10-25,2021-10-25,Carbon Mapper
152,x94,2021-10-25,2021-10-25,Carbon Mapper
153,x92,2021-10-25,2021-10-25,Carbon Mapper
154,x87,2021-10-25,2021-10-25,Carbon Mapper
155,x84,2021-10-25,2021-10-25,Carbon Mapper
156,x78,2021-10-25,2021-10-25,Carbon Mapper
157,x75,2021-10-25,2021-10-25,Carbon Mapper
158,x69,2021-10-25,2021-10-25,Carbon Mapper
159,x111,2021-10-22,2021-10-22,Carbon Mapper
160,x176,2021-10-22,2021-10-22,Carbon Mapper
161,x175,2021-10-22,2021-10-22,Carbon Mapper
162,x207,2021-10-22,2021-10-22,Carbon Mapper
163,x156,2021-10-21,2021-10-21,Carbon Mapper
164,x168,2021-10-21,2021-10-21,Carbon Mapper
165,x165,2021-10-21,2021-10-21,Carbon Mapper
166,x157,2021-10-21,2021-10-21,Carbon Mapper
167,x152,2021-10-21,2021-10-21,Carbon Mapper
168,x152,2021-10-21,2021-10-21,Carbon Mapper
169,x111,2021-10-21,2021-10-21,Carbon Mapper
170,x111,2021-10-21,2021-10-21,Carbon Mapper
171,x123,2021-10-21,2021-10-21,Carbon Mapper
172,x100,2021-10-21,2021-10-21,Carbon Mapper
173,x100,2021-10-19,2021-10-19,Carbon Mapper
174,x116,2021-10-19,2021-10-19,Carbon Mapper
175,x157,2021-05-08,2021-05-08,Carbon Mapper
176,x148,2021-05-08,2021-05-08,Carbon Mapper
177,x134,2021-05-08,2021-05-08,Carbon Mapper
178,x134,2021-05-08,2021-05-08,Carbon Mapper
179,x138,2021-05-08,2021-05-08,Carbon Mapper
180,x131,2021-05-08,2021-05-08,Carbon Mapper
181,x123,2021-05-08,2021-05-08,Carbon Mapper
182,x106,2021-05-08,2021-05-08,Carbon Mapper
183,x106,2021-05-08,2021-05-08,Carbon Mapper
184,x157,2021-05-07,2021-05-07,Carbon Mapper
185,x171,2021-05-07,2021-05-07,Carbon Mapper
186,x123,2021-05-07,2021-05-07,Carbon Mapper
187,x111,2021-05-07,2021-05-07,Carbon Mapper
188,x92,2021-05-07,2021-05-07,Carbon Mapper
189,x78,2021-05-07,2021-05-07,Carbon Mapper
190,x69,2021-05-07,2021-05-07,Carbon Mapper
191,x75,2021-05-07,2021-05-07,Carbon Mapper
192,x69,2021-05-07,2021-05-07,Carbon Mapper
193,x157,2021-05-04,2021-05-04,Carbon Mapper
194,x148,2021-05-03,2021-05-03,Carbon Mapper
195,x146,2021-05-03,2021-05-03,Carbon Mapper
196,x106,2021-04-29,2021-04-29,Carbon Mapper
197,x106,2021-04-29,2021-04-29,Carbon Mapper
198,x116,2021-04-29,2021-04-29,Carbon Mapper
199,x116,2021-04-29,2021-04-29,Carbon Mapper
200,x123,2021-04-29,2021-04-29,Carbon Mapper
201,x123,2021-04-29,2021-04-29,Carbon Mapper
202,x134,2021-04-29,2021-04-29,Carbon Mapper
203,x134,2021-04-29,2021-04-29,Carbon Mapper
204,x131,2021-04-29,2021-04-29,Carbon Mapper
205,x131,2021-04-29,2021-04-29,Carbon Mapper
206,x138,2021-04-29,2021-04-29,Carbon Mapper
207,x138,2021-04-29,2021-04-29,Carbon Mapper
208,x148,2021-04-29,2021-04-29,Carbon Mapper
209,x148,2021-04-29,2021-04-29,Carbon Mapper
210,x146,2021-04-27,2021-04-27,Carbon Mapper
211,x10,2024-02-24,2024-02-24,UNEP IMEO MARS
212,x10,2023-10-19,2023-10-19,UNEP IMEO MARS
213,x51,2024-10-13,2024-10-13,UNEP IMEO MARS
214,x2,2023-09-01,2023-09-01,UNEP IMEO MARS
215,x10,2023-10-03,2023-10-03,UNEP IMEO MARS
216,x51,2024-07-01,2024-07-01,UNEP IMEO MARS
217,x10,2023-08-16,2023-08-16,UNEP IMEO MARS
218,x10,2023-07-15,2023-07-15,UNEP IMEO MARS
219,x2,2023-07-15,2023-07-15,UNEP IMEO MARS
220,x2,2023-10-19,2023-10-19,UNEP IMEO MARS
221,x51,2024-09-03,2024-09-03,UNEP IMEO MARS
