lat,lon,start,end,note
-25.70018488746655,-43.15043550855376,2019-06-18,2019-06-27,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2019-07-08,2019-08-06,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2019-10-26,2019-10-30,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2019-11-25,2019-12-04,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2019-12-15,2020-01-03,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-02-08,2020-02-12,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-02-28,2020-03-18,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-03-24,2020-04-02,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-04-08,2020-04-12,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-04-18,2020-04-27,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-05-03,2020-05-22,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-06-12,2020-06-26,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-07-12,2020-07-16,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-07-22,2020-08-15,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-08-26,2020-09-09,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-09-30,2020-10-04,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-10-10,2020-10-14,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-10-20,2020-10-24,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-12-04,2020-12-08,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-12-14,2020-12-18,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-12-24,2020-12-28,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2021-01-13,2021-02-01,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2021-02-17,2021-02-26,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2021-04-28,2021-05-12,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2021-05-18,2021-06-06,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2021-07-02,2021-07-06,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2021-07-22,2021-08-05,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2021-08-21,2021-08-30,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2021-10-20,2021-10-29,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2021-11-04,2021-11-18,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2021-11-24,2021-12-03,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2021-12-19,2021-12-23,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2022-01-13,2022-01-27,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2022-02-02,2022-02-21,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2022-02-27,2022-03-03,possible venting from flaring dataset
