 11 4353.677781 1.669E-29 3.937E-05.04840.235 2327.91400.570.006530          0 2 0          0 0 0 14  7  8       14  2 13      434233807260713049    87.0   87.0
 11 4353.702806 4.892E-25 9.159E-02.02900.250 1806.67000.30-.006000          1 0 0          0 0 0 14  3 12       13  0 13      466621807377713038    87.0   81.0
 11 4354.089523 1.184E-25 2.613E-01.03070.235 2327.91400.29-.013060          1 0 0          0 0 0 15  3 12       14  2 13      464423807360713049    93.0   87.0
 11 4354.384763 1.896E-30 2.498E-03.04690.221 3629.09650.48-.040000          1 1 0          0 0 0 14  4 11       15  7  8      432230807294713152    87.0   93.0
 11 4354.405433 7.861E-30 4.054E-05.05030.250 2248.06450.580.003580          0 2 0          0 0 0 13  8  6       13  3 11      432230807260713049    27.0   27.0
 11 4354.460930 1.588E-25 8.922E-02.03080.250 1806.67150.29-.010490          1 0 0          0 0 0 14  2 12       13  1 13      464323807360713049    29.0   27.0
 11 4354.495542 1.791E-28 3.199E-02.04910.221 3244.60070.480.009160          1 0 0          0 0 0 16  7 10       15  4 11      434233807360713049    99.0   93.0
 11 4354.496029 1.390E-26 1.202E-03.06320.298 1581.33600.64-.007550          0 0 1          0 0 0 10  8  2       10  4  7      464323307260713049    63.0   63.0
 11 4355.364571 1.530E-29 9.279E-06.06330.265 1774.61630.66-.002050          1 0 0          0 0 0 11  8  4       12  1 11      432230807360713049    23.0   25.0
 11 4355.552322 4.117E-26 2.727E-01.02870.235 2327.88370.26-.008610          1 0 0          0 0 0 15  4 12       14  1 13      464323807360713049    31.0   29.0
 11 4355.705637 2.987E-30 2.827E-01.02060.221 4534.96370.19-.005490          0 2 0          0 0 0 16 12  5       15 11  4      332230807260713049    99.0   93.0
 11 4355.796716 7.106E-29 1.639E-04.06350.265 2275.37290.62-.023440          0 1 1          0 0 0 11  1 11       12  5  8      434233807294713152    69.0   75.0
 11 4356.136035 3.469E-30 1.734E+00.06270.235 4638.34760.57-.010370          0 1 1          0 1 0 15  7  8       14  5  9      432230807294713152    31.0   29.0
 11 4356.204228 2.320E-27 8.797E-04.05700.281 1695.06860.550.005560          1 0 0          0 0 0 12  6  6       11  3  9      434223807360713049    25.0   23.0
 11 4356.222578 5.834E-24 1.233E-01.04100.281 1327.11000.41-.008000          0 0 1          0 0 0 12  2 10       11  0 11      568520307277713038    75.0   69.0
 11 4356.240370 1.971E-27 4.445E-02.03880.298 2705.13960.30-.001730          0 4 0          0 1 0  9  0  9       10  1 10      434223807294713152    57.0   63.0
 11 4356.391374 1.924E-29 4.668E-07.08360.333 1050.15770.75-.004840          1 0 0          0 0 0  8  8  0        8  3  5      432230807360713049    17.0   17.0
 11 4356.789569 5.798E-29 9.942E-03.06630.235 2983.39630.65-.015620          0 0 1          0 0 0 14  9  6       14  5  9      434233807260713049    29.0   29.0
 11 4356.931474 2.067E-25 3.237E-03.07650.333  982.91170.680.002680          0 0 1          0 0 0  9  6  3        8  2  6      564623307260713049    19.0   17.0
 11 4357.024097 1.890E-26 5.532E-01.02860.221 2872.27430.25-.005860          1 0 0          0 0 0 16  5 12       15  2 13      464423807360713049    99.0   93.0
 11 4357.085046 3.418E-30 4.716E-04.05270.208 2952.38650.590.004340          0 0 1          0 0 0 15  7  8       16  1 15      432230807260713049    31.0   33.0
 11 4357.412851 1.953E-24 1.239E-01.03900.281 1327.11760.40-.005000          0 0 1          0 0 0 12  3 10       11  1 11      467421807277713038    25.0   23.0
 11 4357.655963 1.343E-30 1.905E-03.09150.391 3478.98640.720.000900          1 0 1          0 2 0  6  2  4        5  0  5      432230807294713152    39.0   33.0
 11 4357.868745 3.132E-27 2.652E-03.05720.281 1843.02960.58-.006390          0 0 1          0 0 0 11  8  3       11  4  8      434223807260713049    23.0   23.0
 11 4358.013491 9.964E-30 1.223E-01.01260.250 4087.98080.03-.004910          0 2 0          0 0 0 14 13  2       13 12  1      332230807260713049    87.0   81.0
 11 4358.013495 3.321E-30 1.223E-01.01260.250 4087.98080.03-.004910          0 2 0          0 0 0 14 13  1       13 12  2      332230807260713049    29.0   27.0
 11 4358.027805 6.625E-25 3.427E-01.04680.265 1774.61630.46-.014120          0 0 1          0 0 0 13  3 10       12  1 11      464723307260713049    27.0   25.0
 11 4358.122637 3.469E-30 8.079E-07.08020.298 1538.14950.74-.002750          0 0 1          0 0 0  9  9  0       10  3  7      432230807260713049    19.0   21.0
 11 4358.324698 6.667E-28 4.514E-02.03870.298 2705.09690.30-.002220          0 4 0          0 1 0  9  1  9       10  0 10      434223807294713152    19.0   21.0
 11 4358.486800 9.279E-30 1.114E-05.07270.298 1875.46180.67-.017390          0 1 1          0 0 0  9  0  9       10  6  4      432230807294713152    19.0   21.0
